order_id,customer_id,order_date,offer_type,channel,revenue,cost,status
ORD_69,CUST_1075,2025-02-24,Creative Studio,Referral,233.95,120.6,Cancelled
ORD_70,CUST_767,2024-05-12,Media Package,Instagram,258.77,151.44,Completed
ORD_71,CUST_210,2024-03-11,Creative Studio,Partnership,432.05,160.42,Refunded
ORD_72,CUST_999,2024-07-30,Event Ticket,Instagram,453.84,307.15,Completed
ORD_73,CUST_571,2025-03-18,Workshop,Instagram,58.86,38.18,Completed
ORD_74,CUST_327,2024-06-11,Media Package,Referral,303.88,122.77,Refunded
ORD_75,CUST_1135,2024-07-26,Media Package,Instagram,351.22,131.58,Completed
ORD_76,CUST_24,2024-10-09,Membership,Partnership,20.63,11.86,Cancelled
ORD_77,CUST_558,2025-04-01,Event Ticket,TikTok,139.96,56.41,Completed
ORD_78,CUST_1116,2024-09-09,Media Package,Instagram,25.84,17.94,Refunded
ORD_79,CUST_1465,2025-05-17,Media Package,Instagram,166.58,62.2,Completed
ORD_80,CUST_1,2024-04-03,Membership,Instagram,386.87,162.88,Refunded
ORD_81,CUST_873,2025-04-12,Creative Studio,Event Walk-in,72.88,47.81,Completed
ORD_82,CUST_673,2024-10-31,Creative Studio,Instagram,21.37,9.51,Completed
ORD_83,CUST_1080,2024-06-28,Creative Studio,Event Walk-in,96.18,57.24,Completed
ORD_84,CUST_287,2025-03-18,Media Package,Event Walk-in,409.46,150.6,Refunded
ORD_85,CUST_1144,2024-07-06,Media Package,Instagram,100.82,32.18,Completed
ORD_86,CUST_737,2024-02-14,Membership,Instagram,124.86,73.87,Refunded
ORD_87,CUST_1154,2024-10-07,Corporate Package,Instagram,419.97,140.55,Completed
ORD_88,CUST_502,2024-03-09,Media Package,Event Walk-in,373.85,250.06,Completed
ORD_89,CUST_339,2024-08-10,Partner Offer,TikTok,449.74,217.15,Completed
ORD_90,CUST_328,2024-05-04,Partner Offer,TikTok,380.11,185.13,Completed
ORD_91,CUST_206,2024-04-17,Media Package,Partnership,184.72,77.06,Completed
ORD_92,CUST_173,2025-02-23,Media Package,Partnership,360.34,112.73,Completed
ORD_93,CUST_60,2025-06-02,Event Ticket,Instagram,101.65,45.08,Completed
ORD_94,CUST_793,2025-04-17,Creative Studio,Google Search,426.91,224.31,Completed
ORD_95,CUST_1229,2024-07-18,Creative Studio,Instagram,446.96,215.05,Completed
ORD_96,CUST_812,2024-04-27,Media Package,Instagram,214.25,68.1,Completed
ORD_97,CUST_1433,2025-04-20,Media Package,Event Walk-in,241.93,89.24,Completed
ORD_98,CUST_555,2024-09-05,Media Package,Event Walk-in,262.08,127.09,Completed
ORD_99,CUST_379,2025-04-27,Workshop,TikTok,326.22,106.63,Completed
ORD_100,CUST_626,2024-06-23,Corporate Package,Event Walk-in,165.77,98.6,Completed
ORD_101,CUST_1131,2024-06-30,Membership,Instagram,68.85,38.0,Completed
ORD_102,CUST_1424,2025-02-04,Event Ticket,TikTok,69.18,45.86,Completed
ORD_103,CUST_66,2024-01-12,Media Package,Event Walk-in,32.65,22.57,Completed
ORD_104,CUST_956,2025-01-01,Event Ticket,Instagram,37.13,23.79,Completed
ORD_105,CUST_1426,2025-06-29,Membership,Referral,395.18,192.27,Completed
ORD_106,CUST_387,2025-06-19,Media Package,Event Walk-in,480.95,188.83,Completed
ORD_107,CUST_1152,2024-04-15,Creative Studio,Instagram,169.64,86.75,Completed
ORD_108,CUST_524,2024-02-23,Media Package,Instagram,35.95,11.59,Completed
ORD_109,CUST_835,2025-01-21,Workshop,LinkedIn,232.1,143.67,Refunded
ORD_110,CUST_1100,2025-01-18,Partner Offer,Google Search,316.64,210.74,Completed
ORD_111,CUST_1065,2024-01-17,Creative Studio,Partnership,184.08,118.85,Cancelled
ORD_112,CUST_1230,2024-12-11,Workshop,Event Walk-in,137.62,50.72,Completed
ORD_113,CUST_1014,2024-03-05,Membership,TikTok,272.23,127.79,Refunded
ORD_114,CUST_1350,2024-06-20,Media Package,Instagram,61.9,27.36,Completed
ORD_115,CUST_287,2025-06-08,Event Ticket,Event Walk-in,464.72,243.2,Completed
ORD_116,CUST_1095,2024-07-13,Media Package,Instagram,365.76,145.68,Refunded
ORD_117,CUST_1107,2025-02-08,Partner Offer,Event Walk-in,171.72,88.94,Completed
ORD_118,CUST_951,2024-08-06,Event Ticket,Instagram,483.02,228.36,Completed
ORD_119,CUST_1008,2024-01-16,Creative Studio,TikTok,272.34,86.24,Completed
ORD_120,CUST_138,2025-02-02,Membership,TikTok,271.94,172.01,Completed
ORD_121,CUST_1136,2024-10-12,Media Package,TikTok,52.77,19.77,Completed
ORD_122,CUST_87,2024-03-09,Corporate Package,Partnership,435.73,156.05,Completed
ORD_123,CUST_1494,2025-05-26,Partner Offer,TikTok,364.28,227.52,Completed
ORD_124,CUST_811,2024-06-24,Membership,Event Walk-in,292.04,124.74,Completed
ORD_125,CUST_59,2024-11-28,Partner Offer,Instagram,176.95,73.27,Completed
ORD_126,CUST_65,2024-05-16,Creative Studio,Event Walk-in,280.46,117.96,Completed
ORD_127,CUST_1246,2024-11-21,Partner Offer,TikTok,400.82,206.07,Completed
ORD_128,CUST_492,2024-03-10,Creative Studio,Event Walk-in,192.22,111.67,Completed
ORD_129,CUST_953,2025-04-04,Creative Studio,Event Walk-in,57.56,19.52,Completed
ORD_130,CUST_120,2024-08-26,Media Package,Partnership,380.11,253.82,Completed
ORD_131,CUST_1103,2024-01-14,Membership,Event Walk-in,170.14,113.06,Completed
ORD_132,CUST_1407,2024-05-07,Creative Studio,TikTok,340.33,114.02,Completed
ORD_133,CUST_1485,2024-09-06,Media Package,TikTok,361.58,188.8,Completed
ORD_134,CUST_684,2025-01-18,Media Package,Partnership,126.09,38.49,Completed
ORD_135,CUST_1162,2025-01-19,Membership,LinkedIn,436.5,168.0,Completed
ORD_136,CUST_514,2025-03-30,Workshop,Referral,189.65,124.61,Completed
ORD_137,CUST_786,2024-10-11,Creative Studio,Event Walk-in,377.61,241.48,Completed
ORD_138,CUST_526,2024-02-10,Media Package,LinkedIn,367.74,249.46,Cancelled
ORD_139,CUST_879,2024-10-22,Workshop,Event Walk-in,286.38,91.64,Completed
ORD_140,CUST_1340,2024-12-05,Creative Studio,TikTok,90.47,27.73,Completed
ORD_141,CUST_673,2024-02-25,Partner Offer,Instagram,499.09,335.6,Completed
ORD_142,CUST_1424,2024-09-11,Workshop,TikTok,106.27,71.04,Completed
ORD_143,CUST_1449,2024-08-15,Media Package,Event Walk-in,101.28,59.18,Completed
ORD_144,CUST_815,2024-11-25,Membership,Referral,472.03,236.28,Completed
ORD_145,CUST_403,2024-03-07,Corporate Package,Google Search,287.34,105.2,Completed
ORD_146,CUST_608,2024-07-16,Event Ticket,Event Walk-in,31.25,9.83,Cancelled
ORD_147,CUST_402,2024-07-28,Event Ticket,Google Search,196.33,134.01,Completed
ORD_148,CUST_366,2024-07-28,Membership,Referral,220.6,110.87,Completed
ORD_149,CUST_466,2025-04-23,Creative Studio,Partnership,177.16,104.79,Completed
ORD_150,CUST_508,2024-09-07,Creative Studio,Instagram,319.96,173.53,Completed
ORD_151,CUST_1387,2024-11-06,Membership,Instagram,149.91,52.36,Completed
ORD_152,CUST_865,2024-07-25,Membership,Google Search,295.46,119.48,Completed
ORD_153,CUST_1040,2024-03-22,Partner Offer,LinkedIn,291.05,100.81,Completed
ORD_154,CUST_249,2025-01-21,Event Ticket,LinkedIn,282.51,186.69,Completed
ORD_155,CUST_1330,2025-06-01,Media Package,Event Walk-in,496.22,336.25,Completed
ORD_156,CUST_1403,2024-06-08,Workshop,Instagram,305.13,198.9,Completed
ORD_157,CUST_217,2024-01-21,Workshop,TikTok,474.62,183.48,Completed
ORD_158,CUST_810,2024-03-26,Workshop,Event Walk-in,88.14,58.96,Refunded
ORD_159,CUST_1474,2024-06-05,Media Package,Instagram,273.31,157.12,Completed
ORD_160,CUST_1149,2025-01-24,Media Package,Instagram,314.56,100.29,Completed
ORD_161,CUST_59,2025-01-19,Media Package,Instagram,133.46,55.73,Completed
ORD_162,CUST_293,2024-12-07,Event Ticket,TikTok,435.45,271.52,Completed
ORD_163,CUST_302,2024-06-07,Partner Offer,Event Walk-in,245.57,171.09,Completed
ORD_164,CUST_454,2025-05-27,Workshop,TikTok,122.05,83.55,Completed
ORD_165,CUST_871,2025-02-18,Partner Offer,TikTok,409.54,150.82,Refunded
ORD_166,CUST_712,2025-01-17,Creative Studio,TikTok,65.28,42.87,Completed
ORD_167,CUST_312,2024-03-13,Creative Studio,Instagram,422.19,247.33,Completed
ORD_168,CUST_963,2024-05-07,Creative Studio,Event Walk-in,340.39,177.9,Completed
ORD_169,CUST_326,2024-07-17,Workshop,LinkedIn,281.72,173.43,Cancelled
ORD_170,CUST_1154,2024-12-22,Media Package,Instagram,201.49,72.07,Completed
ORD_171,CUST_1046,2025-01-12,Media Package,TikTok,370.1,150.04,Completed
ORD_172,CUST_509,2025-03-10,Workshop,Partnership,308.77,215.98,Completed
ORD_173,CUST_1088,2024-02-05,Partner Offer,Referral,217.09,110.62,Completed
ORD_174,CUST_325,2024-01-29,Media Package,LinkedIn,364.97,205.06,Completed
ORD_175,CUST_65,2024-09-24,Media Package,Event Walk-in,321.1,182.32,Refunded
ORD_176,CUST_580,2024-05-30,Membership,Instagram,156.18,52.44,Completed
ORD_177,CUST_1054,2024-06-14,Event Ticket,Event Walk-in,367.09,242.58,Completed
ORD_178,CUST_190,2025-01-28,Creative Studio,Partnership,243.83,168.93,Completed
ORD_179,CUST_453,2024-03-23,Media Package,Partnership,353.66,163.5,Completed
ORD_180,CUST_1009,2025-03-09,Event Ticket,TikTok,114.66,62.26,Completed
ORD_181,CUST_603,2024-11-05,Media Package,Instagram,260.04,163.96,Completed
ORD_182,CUST_1024,2025-01-26,Media Package,TikTok,329.89,111.1,Completed
ORD_183,CUST_464,2024-04-01,Event Ticket,Event Walk-in,371.8,252.34,Completed
ORD_184,CUST_1023,2024-12-18,Workshop,Instagram,269.31,149.21,Completed
ORD_185,CUST_1007,2024-08-02,Partner Offer,Google Search,193.96,129.95,Completed
ORD_186,CUST_1167,2024-11-11,Event Ticket,Instagram,423.2,164.65,Completed
ORD_187,CUST_842,2025-05-18,Event Ticket,TikTok,138.8,50.72,Completed
ORD_188,CUST_711,2025-03-03,Media Package,Event Walk-in,192.04,67.47,Completed
ORD_189,CUST_1335,2025-03-17,Event Ticket,Event Walk-in,453.04,205.97,Completed
ORD_190,CUST_1255,2024-05-17,Membership,Instagram,218.04,144.97,Completed
ORD_191,CUST_716,2024-04-22,Media Package,LinkedIn,70.55,38.09,Completed
ORD_192,CUST_1070,2024-07-09,Membership,TikTok,283.71,90.87,Completed
ORD_193,CUST_1004,2024-07-15,Membership,Google Search,38.36,14.27,Refunded
ORD_194,CUST_1286,2025-02-22,Creative Studio,TikTok,204.31,87.5,Refunded
ORD_195,CUST_330,2024-04-21,Corporate Package,TikTok,493.46,204.51,Completed
ORD_196,CUST_934,2024-10-27,Event Ticket,Google Search,229.49,120.95,Completed
ORD_197,CUST_820,2024-03-06,Creative Studio,Event Walk-in,437.0,289.84,Completed
ORD_198,CUST_328,2025-05-04,Media Package,TikTok,294.01,186.57,Completed
ORD_199,CUST_425,2024-01-10,Event Ticket,Event Walk-in,346.52,126.9,Completed
ORD_200,CUST_588,2024-01-08,Media Package,LinkedIn,84.11,54.64,Completed
ORD_201,CUST_469,2024-02-12,Event Ticket,LinkedIn,255.99,131.38,Completed
ORD_202,CUST_39,2024-01-08,Creative Studio,LinkedIn,476.84,248.71,Completed
ORD_203,CUST_945,2024-09-29,Partner Offer,Event Walk-in,324.7,146.89,Completed
ORD_204,CUST_151,2024-12-11,Media Package,Referral,114.0,61.57,Completed
ORD_205,CUST_380,2024-12-17,Partner Offer,Event Walk-in,490.66,172.06,Completed
ORD_206,CUST_1095,2025-01-04,Media Package,Instagram,264.02,139.19,Completed
ORD_207,CUST_511,2024-02-28,Partner Offer,Instagram,443.34,151.11,Refunded
ORD_208,CUST_711,2024-04-12,Event Ticket,Event Walk-in,395.97,264.66,Refunded
ORD_209,CUST_1182,2025-02-15,Media Package,LinkedIn,141.12,77.31,Refunded
ORD_210,CUST_1370,2024-05-22,Event Ticket,Partnership,98.11,64.0,Completed
ORD_211,CUST_1225,2025-06-27,Membership,Partnership,51.67,27.85,Completed
ORD_212,CUST_1051,2024-09-11,Creative Studio,Event Walk-in,32.46,19.97,Completed
ORD_213,CUST_190,2025-05-01,Media Package,Partnership,217.07,101.79,Completed
ORD_214,CUST_1373,2024-01-04,Partner Offer,Event Walk-in,124.7,58.98,Cancelled
ORD_215,CUST_691,2024-11-25,Event Ticket,Instagram,44.44,13.8,Completed
ORD_216,CUST_547,2024-02-16,Partner Offer,Partnership,223.2,99.23,Completed
ORD_217,CUST_799,2025-03-30,Membership,Event Walk-in,228.48,100.25,Completed
ORD_218,CUST_837,2024-03-24,Creative Studio,LinkedIn,273.37,93.21,Refunded
ORD_219,CUST_488,2025-05-02,Partner Offer,Event Walk-in,165.35,89.65,Refunded
ORD_220,CUST_868,2024-04-12,Workshop,TikTok,403.81,214.37,Completed
ORD_221,CUST_1024,2024-07-18,Media Package,TikTok,373.16,130.94,Refunded
ORD_222,CUST_103,2025-05-31,Event Ticket,Instagram,368.72,171.08,Completed
ORD_223,CUST_1475,2024-03-30,Creative Studio,LinkedIn,276.56,174.12,Completed
ORD_224,CUST_1437,2025-04-23,Event Ticket,Event Walk-in,488.68,197.56,Completed
ORD_225,CUST_1016,2024-04-28,Media Package,Event Walk-in,65.08,44.98,Completed
ORD_226,CUST_1021,2024-09-06,Membership,TikTok,60.06,28.71,Completed
ORD_227,CUST_475,2024-04-01,Event Ticket,Google Search,109.87,50.84,Cancelled
ORD_228,CUST_1060,2024-01-30,Event Ticket,Google Search,182.24,84.39,Refunded
ORD_229,CUST_1446,2025-01-27,Workshop,Event Walk-in,365.34,216.23,Completed
ORD_230,CUST_245,2024-09-20,Media Package,Event Walk-in,228.58,105.67,Cancelled
ORD_231,CUST_351,2024-05-06,Media Package,Event Walk-in,197.38,74.27,Refunded
ORD_232,CUST_1309,2025-05-18,Event Ticket,Google Search,70.93,28.19,Completed
ORD_233,CUST_708,2024-08-17,Partner Offer,Event Walk-in,486.39,202.68,Completed
ORD_234,CUST_14,2024-03-07,Media Package,Instagram,256.36,98.74,Completed
ORD_235,CUST_406,2025-01-25,Media Package,TikTok,146.17,78.15,Completed
ORD_236,CUST_79,2025-03-23,Workshop,TikTok,64.84,29.38,Completed
ORD_237,CUST_644,2024-04-28,Membership,Instagram,186.38,78.3,Completed
ORD_238,CUST_1062,2024-12-14,Workshop,Event Walk-in,241.33,120.03,Refunded
ORD_239,CUST_266,2024-04-28,Media Package,TikTok,228.62,80.09,Completed
ORD_240,CUST_1494,2024-11-16,Partner Offer,TikTok,320.57,211.44,Completed
ORD_241,CUST_1151,2024-01-02,Creative Studio,Partnership,444.59,185.14,Completed
ORD_242,CUST_1130,2024-07-13,Corporate Package,Instagram,356.49,136.8,Cancelled
ORD_243,CUST_363,2024-11-23,Workshop,Instagram,44.12,21.32,Completed
ORD_244,CUST_888,2024-05-09,Media Package,Instagram,127.38,80.73,Completed
ORD_245,CUST_46,2024-08-15,Event Ticket,Instagram,290.92,121.79,Completed
ORD_246,CUST_425,2025-04-16,Creative Studio,Event Walk-in,391.26,207.15,Completed
ORD_247,CUST_1167,2024-10-30,Corporate Package,Instagram,73.86,47.93,Completed
ORD_248,CUST_714,2025-04-11,Event Ticket,Partnership,206.24,85.63,Completed
ORD_249,CUST_555,2024-02-05,Media Package,Event Walk-in,406.05,245.38,Completed
ORD_250,CUST_187,2024-05-06,Membership,LinkedIn,305.96,154.75,Completed
ORD_251,CUST_675,2025-05-04,Media Package,Instagram,258.18,155.73,Completed
ORD_252,CUST_1322,2024-10-25,Media Package,Partnership,106.42,32.29,Completed
ORD_253,CUST_1120,2024-12-07,Event Ticket,TikTok,200.35,113.23,Completed
ORD_254,CUST_1378,2024-08-18,Media Package,Instagram,415.96,228.74,Completed
ORD_255,CUST_549,2024-07-02,Corporate Package,TikTok,408.92,182.82,Completed
ORD_256,CUST_332,2024-11-02,Partner Offer,Instagram,345.37,153.75,Completed
ORD_257,CUST_706,2024-06-12,Partner Offer,Event Walk-in,494.29,246.36,Completed
ORD_258,CUST_6,2024-12-11,Creative Studio,Instagram,273.45,113.14,Completed
ORD_259,CUST_535,2024-12-22,Workshop,Instagram,89.12,37.01,Completed
ORD_260,CUST_300,2025-06-24,Media Package,Google Search,329.32,158.57,Completed
ORD_261,CUST_15,2024-07-18,Media Package,Instagram,318.88,110.01,Completed
ORD_262,CUST_36,2024-04-09,Event Ticket,Event Walk-in,467.04,227.12,Completed
ORD_263,CUST_1465,2024-02-25,Corporate Package,Instagram,83.68,40.1,Completed
ORD_264,CUST_1475,2025-04-13,Media Package,LinkedIn,488.98,156.7,Completed
ORD_265,CUST_1269,2025-03-28,Media Package,Instagram,64.86,20.4,Completed
ORD_266,CUST_979,2024-05-28,Membership,LinkedIn,100.06,48.28,Completed
ORD_267,CUST_387,2024-07-19,Workshop,Event Walk-in,326.97,100.95,Completed
ORD_268,CUST_485,2024-04-14,Media Package,Google Search,415.04,124.79,Cancelled
ORD_269,CUST_1137,2024-05-31,Creative Studio,TikTok,161.43,70.26,Cancelled
ORD_270,CUST_720,2024-06-21,Partner Offer,Partnership,82.02,31.59,Completed
ORD_271,CUST_1264,2025-04-30,Event Ticket,Event Walk-in,494.51,253.22,Completed
ORD_272,CUST_884,2025-06-11,Media Package,Partnership,92.36,57.76,Completed
ORD_273,CUST_47,2024-06-01,Media Package,Google Search,357.38,191.87,Completed
ORD_274,CUST_1208,2024-02-04,Event Ticket,Event Walk-in,175.29,94.65,Completed
ORD_275,CUST_1048,2024-11-05,Media Package,Instagram,102.93,63.61,Cancelled
ORD_276,CUST_426,2025-01-19,Workshop,Event Walk-in,361.59,190.02,Cancelled
ORD_277,CUST_1227,2024-04-01,Workshop,TikTok,251.55,147.84,Refunded
ORD_278,CUST_683,2025-01-26,Membership,Instagram,273.97,181.19,Completed
ORD_279,CUST_149,2025-01-11,Event Ticket,TikTok,342.24,136.11,Completed
ORD_280,CUST_1485,2024-05-04,Media Package,TikTok,226.81,103.34,Completed
ORD_281,CUST_1067,2025-06-05,Membership,Referral,309.28,158.0,Completed
ORD_282,CUST_107,2025-05-06,Membership,LinkedIn,374.64,123.17,Completed
ORD_283,CUST_895,2024-07-04,Creative Studio,Partnership,150.9,73.98,Cancelled
ORD_284,CUST_1110,2025-03-20,Membership,Event Walk-in,48.42,18.61,Completed
ORD_285,CUST_874,2024-11-29,Event Ticket,TikTok,171.38,78.79,Refunded
ORD_286,CUST_566,2024-07-08,Creative Studio,Referral,96.21,33.31,Completed
ORD_287,CUST_1302,2025-02-07,Media Package,Instagram,324.9,185.22,Completed
ORD_288,CUST_601,2025-06-26,Media Package,Event Walk-in,361.22,181.46,Completed
ORD_289,CUST_1228,2024-05-07,Workshop,TikTok,335.27,211.14,Completed
ORD_290,CUST_663,2024-04-30,Membership,Instagram,35.16,12.47,Completed
ORD_291,CUST_1466,2024-07-03,Event Ticket,Instagram,34.15,23.02,Completed
ORD_292,CUST_404,2024-11-17,Event Ticket,Event Walk-in,263.26,133.07,Completed
ORD_293,CUST_942,2024-07-30,Media Package,Instagram,215.83,110.89,Completed
ORD_294,CUST_700,2024-09-19,Corporate Package,Instagram,376.42,148.83,Completed
ORD_295,CUST_1022,2024-05-07,Media Package,Referral,280.69,139.76,Completed
ORD_296,CUST_609,2024-06-24,Creative Studio,Instagram,150.12,90.85,Refunded
ORD_297,CUST_37,2024-01-01,Membership,TikTok,129.96,78.76,Completed
ORD_298,CUST_1155,2025-06-15,Partner Offer,Event Walk-in,131.19,46.12,Completed
ORD_299,CUST_423,2025-06-30,Creative Studio,Instagram,386.85,236.11,Completed
ORD_300,CUST_1022,2024-11-16,Media Package,Referral,132.84,92.65,Cancelled
ORD_301,CUST_194,2024-12-26,Media Package,Referral,70.25,28.0,Completed
ORD_302,CUST_898,2024-04-11,Media Package,Instagram,30.29,19.0,Completed
ORD_303,CUST_249,2024-02-07,Membership,LinkedIn,273.62,91.37,Completed
ORD_304,CUST_267,2024-08-08,Partner Offer,Event Walk-in,29.87,15.46,Completed
ORD_305,CUST_751,2024-08-09,Media Package,TikTok,93.07,57.49,Completed
ORD_306,CUST_197,2025-03-08,Event Ticket,TikTok,230.64,75.71,Completed
ORD_307,CUST_138,2025-01-25,Media Package,TikTok,297.36,150.07,Completed
ORD_308,CUST_517,2025-04-12,Event Ticket,Referral,443.95,187.81,Completed
ORD_309,CUST_1150,2025-03-11,Partner Offer,TikTok,209.89,124.13,Completed
ORD_310,CUST_854,2024-07-27,Event Ticket,TikTok,197.1,124.58,Completed
ORD_311,CUST_908,2024-07-16,Media Package,Google Search,269.33,139.75,Completed
ORD_312,CUST_206,2025-06-07,Media Package,Partnership,28.16,11.97,Completed
ORD_313,CUST_115,2024-06-06,Creative Studio,Partnership,390.75,155.61,Completed
ORD_314,CUST_492,2025-01-23,Event Ticket,Event Walk-in,134.16,70.68,Completed
ORD_315,CUST_1320,2024-03-20,Membership,Partnership,84.14,44.5,Completed
ORD_316,CUST_42,2025-02-20,Event Ticket,LinkedIn,397.12,185.68,Completed
ORD_317,CUST_628,2025-01-06,Partner Offer,TikTok,259.3,122.77,Completed
ORD_318,CUST_201,2024-05-29,Corporate Package,Instagram,253.98,107.07,Completed
ORD_319,CUST_658,2024-01-11,Event Ticket,LinkedIn,215.17,120.55,Cancelled
ORD_320,CUST_1495,2024-08-15,Creative Studio,Google Search,345.25,144.02,Completed
ORD_321,CUST_555,2024-05-06,Event Ticket,Event Walk-in,142.68,50.45,Completed
ORD_322,CUST_530,2024-11-09,Media Package,LinkedIn,325.44,124.82,Completed
